Open,Close,Year,Month,Date
131.21000700000002,130.919998,1981,07,07/01/1981
130.919998,122.790001,1981,08,08/01/1981
122.790001,116.18,1981,09,09/01/1981
116.18,121.889999,1981,10,10/01/1981
122.349998,126.349998,1981,11,11/01/1981
126.349998,122.550003,1981,12,12/01/1981
122.550003,120.400002,1982,01,01/01/1982
119.809998,113.110001,1982,02,02/01/1982
113.110001,111.959999,1982,03,03/01/1982
111.959999,116.440002,1982,04,04/01/1982
115.959999,111.879997,1982,05,05/01/1982
111.970001,109.610001,1982,06,06/01/1982
109.519997,107.089996,1982,07,07/01/1982
107.709999,119.510002,1982,08,08/01/1982
119.519997,120.41999799999999,1982,09,09/01/1982
120.400002,133.720001,1982,10,10/01/1982
133.720001,138.529999,1982,11,11/01/1982
138.559998,140.639999,1982,12,12/01/1982
140.649994,145.300003,1983,01,01/01/1983
145.28999299999998,148.059998,1983,02,02/01/1983
148.070007,152.96000700000002,1983,03,03/01/1983
152.919998,164.429993,1983,04,04/01/1983
164.41000400000001,162.389999,1983,05,05/01/1983
162.380005,167.639999,1983,06,06/01/1983
168.110001,162.559998,1983,07,07/01/1983
162.33999599999999,164.399994,1983,08,08/01/1983
164.399994,166.070007,1983,09,09/01/1983
165.990005,163.550003,1983,10,10/01/1983
163.550003,166.399994,1983,11,11/01/1983
166.369995,164.929993,1983,12,12/01/1983
164.929993,163.41000400000001,1984,01,01/01/1984
163.41000400000001,157.059998,1984,02,02/01/1984
157.059998,159.179993,1984,03,03/01/1984
159.179993,160.050003,1984,04,04/01/1984
160.050003,150.550003,1984,05,05/01/1984
150.550003,153.179993,1984,06,06/01/1984
153.16000400000001,150.66000400000001,1984,07,07/01/1984
150.66000400000001,166.679993,1984,08,08/01/1984
166.679993,166.100006,1984,09,09/01/1984
166.100006,166.08999599999999,1984,10,10/01/1984
166.08999599999999,163.580002,1984,11,11/01/1984
163.580002,167.240005,1984,12,12/01/1984
167.199997,179.630005,1985,01,01/01/1985
179.630005,181.179993,1985,02,02/01/1985
181.179993,180.66000400000001,1985,03,03/01/1985
180.66000400000001,179.830002,1985,04,04/01/1985
179.830002,189.550003,1985,05,05/01/1985
189.550003,191.850006,1985,06,06/01/1985
191.850006,190.919998,1985,07,07/01/1985
190.919998,188.630005,1985,08,08/01/1985
188.630005,182.080002,1985,09,09/01/1985
182.059998,189.820007,1985,10,10/01/1985
189.820007,202.169998,1985,11,11/01/1985
202.169998,211.27999900000003,1985,12,12/01/1985
211.27999900000003,211.77999900000003,1986,01,01/01/1986
211.77999900000003,226.919998,1986,02,02/01/1986
